emp_no,title,salary
101973,Senior Staff,65051
101989,Senior Engineer,52805
101993,Senior Staff,55620
102000,Staff,56761
102011,Senior Engineer,52456
102019,Senior Staff,87038
102027,Senior Engineer,40000
102028,Senior Engineer,63152
102037,Staff,57202
102045,Engineer,46765
102052,Senior Staff,40281
102061,Senior Engineer,75529
102062,Senior Staff,58715
102068,Senior Staff,67377
102079,Senior Engineer,40000
102081,Technique Leader,57925
102090,Senior Staff,40000
102105,Senior Staff,45137
102110,Senior Staff,58708
102115,Staff,101547
102131,Senior Staff,40653
102144,Engineer,40000
102147,Senior Staff,52372
102152,Engineer,55987
102153,Senior Staff,76845
102162,Senior Engineer,40000
102180,Senior Staff,51592
102187,Senior Staff,51190
102191,Senior Engineer,57701
102217,Senior Engineer,40000
102220,Technique Leader,40000
102221,Senior Engineer,42023
102225,Senior Staff,65031
102228,Senior Staff,59418
102232,Senior Staff,44706
102239,Engineer,46805
102240,Senior Engineer,63672
102257,Senior Engineer,41309
102266,Senior Engineer,56066
102286,Senior Staff,46380
102292,Technique Leader,61172
102298,Engineer,40000
102314,Engineer,40000
102320,Senior Engineer,40000
102333,Senior Staff,44130
102336,Senior Engineer,40000
102353,Staff,41282
102371,Senior Staff,56227
102372,Senior Engineer,98186
102385,Senior Engineer,73828
102388,Staff,65265
102395,Senior Staff,40000
102403,Senior Staff,40000
102405,Senior Staff,42998
102410,Staff,82433
102423,Senior Staff,48201
102427,Senior Staff,40000
102430,Engineer,69306
102433,Senior Staff,92909
102440,Senior Staff,76306
102450,Senior Engineer,66353
102451,Engineer,40000
102456,Staff,46042
102465,Senior Staff,40000
102479,Senior Staff,61615
102483,Senior Engineer,40000
102491,Senior Engineer,54658
102496,Senior Engineer,40000
102514,Senior Engineer,63125
102515,Engineer,40000
102520,Senior Engineer,40000
102548,Senior Engineer,40000
102550,Engineer,67806
102552,Senior Staff,40000
102597,Senior Engineer,50203
102605,Senior Engineer,41350
102609,Engineer,43987
102627,Senior Engineer,52225
102632,Senior Engineer,40000
102654,Technique Leader,50339
102673,Senior Staff,71501
102677,Senior Engineer,40000
102682,Senior Staff,71707
102689,Senior Staff,45563
102692,Staff,66030
102700,Senior Engineer,40000
102704,Senior Staff,64223
102708,Senior Staff,54392
102710,Senior Engineer,40000
102712,Staff,69660
102728,Staff,59476
102733,Senior Staff,66824
102737,Senior Engineer,56956
102738,Senior Staff,40000
102740,Senior Engineer,40000
102741,Senior Staff,54333
102742,Engineer,51549
102754,Senior Engineer,48479
102757,Senior Engineer,62091
102762,Senior Staff,40000
102765,Senior Staff,65088
102766,Engineer,40000
102777,Senior Engineer,41798
102778,Senior Engineer,49949
102790,Senior Engineer,54265
102793,Senior Engineer,40000
102801,Senior Engineer,40000
102803,Senior Engineer,46315
102804,Technique Leader,65584
102808,Senior Engineer,48528
102810,Senior Staff,69623
102815,Senior Staff,60284
102823,Assistant Engineer,51282
102828,Staff,40000
102851,Technique Leader,40000
102856,Senior Staff,40000
102870,Senior Staff,48805
102901,Senior Engineer,64409
102912,Senior Staff,40000
102922,Technique Leader,53178
102941,Senior Engineer,47614
102942,Senior Staff,69181
102953,Senior Engineer,53852
102962,Senior Staff,113013
102996,Senior Engineer,60588
103005,Senior Engineer,69015
103019,Staff,59255
103024,Senior Engineer,40000
103039,Staff,83806
103040,Senior Engineer,40000
103042,Senior Staff,70417
103044,Staff,40000
103058,Senior Engineer,56772
103059,Technique Leader,49110
103061,Senior Engineer,40000
103076,Senior Staff,78228
103088,Engineer,73413
103092,Senior Engineer,63906
103107,Senior Staff,40000
103128,Senior Engineer,40000
103129,Senior Engineer,40000
103130,Senior Engineer,57225
103156,Senior Staff,71706
103159,Senior Engineer,40000
103164,Senior Staff,66173
103176,Senior Staff,88569
103178,Senior Engineer,60955
103184,Engineer,40000
103198,Senior Engineer,65725
103219,Senior Engineer,69296
103223,Senior Engineer,49621
103224,Senior Engineer,40000
103235,Senior Engineer,65899
103245,Senior Engineer,40000
103252,Technique Leader,40000
103255,Senior Engineer,65925
103258,Senior Staff,40000
103259,Senior Staff,40000
103270,Senior Staff,53744
103271,Senior Engineer,40000
103276,Senior Staff,88765
103284,Senior Engineer,40000
103294,Senior Staff,40000
103296,Senior Staff,40000
103332,Senior Engineer,81180
103338,Senior Staff,40000
103344,Senior Engineer,68040
103349,Senior Engineer,44988
103350,Engineer,40000
103351,Senior Engineer,56479
103358,Senior Staff,62439
103366,Engineer,60314
103367,Senior Engineer,48288
103375,Senior Staff,76982
103398,Staff,77932
103415,Senior Staff,60614
103419,Senior Engineer,46475
103424,Assistant Engineer,40000
103426,Senior Engineer,68664
103427,Senior Engineer,49747
103435,Senior Engineer,46549
103460,Senior Staff,55681
103467,Senior Staff,69893
103469,Staff,40000
103480,Engineer,51511
103484,Senior Engineer,57461
103488,Senior Engineer,40000
103490,Senior Engineer,40000
103506,Staff,60478
103522,Engineer,63106
103523,Senior Engineer,45367
103529,Senior Engineer,47841
103537,Senior Staff,79395
103538,Senior Engineer,45573
103540,Staff,40000
103558,Senior Staff,68004
103563,Senior Engineer,40001
103566,Senior Engineer,41852
103567,Senior Engineer,62521
103568,Technique Leader,40000
103569,Senior Engineer,40000
103573,Senior Staff,63857
103575,Senior Staff,60804
103576,Staff,40000
103583,Senior Staff,50256
103585,Senior Staff,58728
103586,Engineer,42217
103589,Senior Engineer,80369
103591,Senior Staff,69105
103595,Senior Staff,68103
103605,Technique Leader,51576
103607,Senior Staff,69271
103621,Staff,45719
103625,Senior Engineer,50104
103635,Senior Engineer,40000
103640,Senior Staff,40000
103641,Engineer,56711
103644,Technique Leader,65011
103653,Senior Engineer,44356
103659,Senior Engineer,62404
103661,Senior Engineer,40000
103663,Engineer,40000
103665,Senior Engineer,63183
103668,Senior Engineer,40000
103670,Senior Staff,66848
103681,Senior Staff,40000
103682,Senior Engineer,46159
103713,Senior Engineer,40000
103717,Staff,40000
103723,Senior Staff,40000
103730,Senior Engineer,66732
103731,Engineer,40000
103733,Senior Engineer,58383
103753,Senior Staff,40000
103754,Senior Engineer,43578
103759,Staff,47687
103761,Senior Staff,40000
103766,Engineer,60020
103772,Senior Staff,40000
103776,Senior Staff,75817
103782,Senior Staff,85804
103810,Engineer,43643
103835,Senior Engineer,53360
103842,Staff,40000
103849,Senior Engineer,58511
103855,Technique Leader,46663
103860,Engineer,52114
103862,Senior Engineer,40000
103865,Senior Engineer,40000
103869,Senior Staff,40000
103876,Senior Engineer,40000
103878,Staff,40000
103892,Senior Engineer,45599
103897,Senior Engineer,68733
103898,Senior Staff,89803
103913,Senior Engineer,50892
103918,Technique Leader,42579
103926,Senior Staff,83559
103936,Senior Engineer,45650
103938,Senior Engineer,40000
103939,Senior Engineer,74770
103947,Engineer,59044
103951,Senior Engineer,40000
103960,Senior Staff,40000
103961,Staff,40000
103965,Senior Staff,85514
103971,Senior Staff,40000
103973,Staff,76568
103987,Senior Engineer,69354
103988,Senior Staff,76665
104005,Senior Engineer,40000
104011,Staff,68704
104014,Senior Engineer,48888
104021,Senior Engineer,40000
104029,Staff,78220
104035,Senior Staff,77134
104038,Engineer,49409
104047,Engineer,40000
104049,Technique Leader,44000
104054,Senior Engineer,51886
104060,Technique Leader,40000
104073,Senior Staff,79549
104091,Senior Staff,88769
104092,Assistant Engineer,48196
104093,Senior Staff,50592
104094,Engineer,49509
104111,Assistant Engineer,42749
104114,Technique Leader,40592
104122,Senior Engineer,40000
104130,Senior Engineer,40000
104135,Staff,80914
104143,Senior Engineer,40000
104144,Engineer,40000
104145,Senior Engineer,40000
104153,Senior Staff,40000
104154,Engineer,59276
104157,Senior Engineer,54033
104160,Technique Leader,57764
104163,Senior Staff,49990
104174,Senior Staff,40000
104184,Senior Engineer,40000
104196,Senior Staff,40000
104199,Senior Staff,61331
104203,Staff,72926
104210,Technique Leader,40000
104212,Senior Staff,54803
104222,Senior Engineer,40000
104223,Senior Staff,71987
104233,Engineer,43781
104254,Senior Engineer,50220
104266,Engineer,42290
104294,Senior Engineer,46683
104312,Senior Staff,74364
104313,Senior Engineer,40000
104315,Senior Staff,40000
104316,Senior Engineer,43226
104328,Technique Leader,57862
104336,Senior Engineer,41393
104337,Staff,40000
104352,Senior Staff,59241
104361,Senior Engineer,40000
104363,Senior Staff,66971
104366,Technique Leader,40000
104369,Senior Staff,74877
104376,Engineer,40000
104391,Senior Staff,40000
104399,Senior Engineer,40000
104402,Staff,74547
104404,Senior Staff,73443
104411,Senior Staff,40000
104426,Staff,49156
104431,Senior Staff,45628
104452,Senior Engineer,40000
104462,Senior Staff,51689
104467,Senior Engineer,40000
104478,Technique Leader,46511
104480,Senior Staff,87795
104482,Engineer,41679
104498,Engineer,40000
104503,Senior Engineer,40000
104504,Senior Engineer,44682
104508,Senior Engineer,58000
104510,Senior Staff,74238
104517,Senior Staff,66270
104520,Senior Staff,76708
104523,Engineer,62637
104536,Senior Staff,74153
104537,Technique Leader,43916
104549,Assistant Engineer,53559
104553,Staff,40000
104557,Technique Leader,75651
104577,Senior Staff,40000
104592,Senior Staff,69015
104593,Senior Engineer,40000
104610,Senior Staff,61345
104625,Senior Engineer,40000
104626,Senior Staff,40000
104637,Senior Staff,59793
104640,Engineer,41338
104642,Engineer,42979
104644,Senior Engineer,49794
104656,Senior Staff,57530
104658,Assistant Engineer,52965
104661,Staff,40000
104667,Technique Leader,40000
104670,Senior Engineer,40000
104677,Senior Staff,40000
104682,Senior Staff,60251
104696,Senior Staff,40000
104710,Senior Staff,88948
104711,Senior Engineer,54612
104718,Senior Engineer,44493
104736,Senior Engineer,43181
104745,Engineer,40000
104748,Senior Staff,40000
104753,Technique Leader,40000
104755,Senior Engineer,48669
104760,Technique Leader,40000
104765,Staff,65293
104767,Senior Staff,44001
104772,Staff,63539
104779,Senior Engineer,71875
104783,Senior Staff,46818
104785,Senior Staff,40000
104796,Senior Staff,40000
104801,Senior Staff,44627
104805,Senior Engineer,40000
104812,Staff,75881
104818,Senior Engineer,40000
104819,Senior Staff,78003
104852,Senior Engineer,52882
104858,Staff,85538
104866,Senior Staff,83471
104870,Senior Staff,94450
104875,Senior Engineer,72081
104876,Senior Engineer,61599
104877,Senior Staff,40000
104882,Technique Leader,48579
104894,Senior Staff,54118
104897,Engineer,81224
104911,Senior Staff,40000
104921,Senior Engineer,47602
104929,Senior Staff,40562
104931,Staff,98125
104939,Senior Engineer,56152
104940,Senior Staff,50368
104941,Senior Engineer,43708
104945,Senior Engineer,52910
104977,Engineer,52210
104993,Senior Staff,43732
105002,Senior Staff,61818
105003,Senior Engineer,40000
105033,Engineer,58325
105040,Senior Engineer,58016
105053,Senior Staff,40000
105060,Senior Staff,58083
105072,Engineer,40377
105073,Staff,86724
105075,Senior Engineer,59902
105077,Senior Staff,40000
105081,Senior Engineer,50813
105085,Senior Staff,40000
105093,Senior Staff,55151
105095,Senior Engineer,45472
105100,Engineer,40000
105103,Senior Engineer,48862
105120,Senior Engineer,40000
105123,Senior Staff,40000
105125,Technique Leader,40000
105131,Senior Engineer,83618
105138,Senior Staff,100677
105143,Senior Engineer,60706
105145,Engineer,46723
105146,Senior Staff,45494
105152,Senior Staff,47925
105154,Staff,68754
105162,Senior Staff,46346
105167,Senior Staff,68908
105180,Senior Staff,48314
105184,Senior Staff,67146
105202,Senior Staff,48818
105204,Senior Staff,52936
105208,Senior Engineer,53701
105222,Senior Engineer,49060
105223,Senior Engineer,48708
105224,Engineer,40000
105226,Staff,55174
105234,Senior Engineer,40000
105239,Senior Staff,68174
105241,Senior Engineer,52992
105247,Senior Staff,40000
105259,Engineer,66711
105261,Senior Engineer,40000
105264,Senior Staff,56850
105278,Senior Staff,40000
105291,Senior Staff,40000
105296,Staff,78182
105304,Senior Engineer,42004
105311,Staff,62523
105313,Senior Staff,66797
105319,Senior Staff,40000
105326,Engineer,40000
105328,Technique Leader,40000
105329,Staff,40954
105346,Senior Engineer,40000
105357,Senior Engineer,40000
105365,Senior Engineer,40000
105370,Engineer,52938
105385,Staff,41439
105388,Senior Engineer,40748
105391,Engineer,40000
105396,Senior Staff,65691
105401,Engineer,40000
105406,Senior Staff,40000
105408,Senior Engineer,68754
105410,Senior Engineer,40000
105417,Senior Engineer,65530
105421,Senior Staff,40000
105425,Senior Staff,56218
105430,Staff,40000
105441,Senior Staff,77975
105449,Senior Staff,40000
105466,Senior Staff,40000
105485,Technique Leader,40000
105489,Senior Staff,78258
105498,Senior Engineer,40000
105515,Senior Engineer,48243
105521,Senior Staff,57333
105532,Senior Engineer,47690
105533,Senior Engineer,40000
105541,Technique Leader,40000
105543,Senior Engineer,60981
105544,Senior Engineer,40000
105546,Senior Engineer,40000
105560,Senior Engineer,40000
105561,Senior Engineer,40000
105564,Senior Engineer,40000
105572,Senior Staff,74472
105581,Senior Engineer,40000
105587,Senior Engineer,40000
105593,Senior Staff,40000
105595,Senior Staff,69111
105601,Senior Staff,40000
105603,Senior Staff,101872
105618,Staff,40000
105633,Engineer,40000
105634,Staff,50519
105637,Senior Engineer,40000
105654,Senior Engineer,44756
105662,Senior Staff,45070
105665,Senior Staff,68953
105670,Engineer,40000
105674,Senior Engineer,54441
105681,Senior Engineer,57728
105682,Senior Staff,71347
105683,Senior Staff,90213
105697,Senior Staff,40000
105701,Technique Leader,40000
105704,Senior Staff,40000
105705,Engineer,40000
105712,Senior Staff,46343
105716,Senior Engineer,52731
105717,Engineer,54382
105722,Staff,71753
105726,Senior Staff,43572
105738,Senior Staff,47442
105739,Senior Engineer,41695
105748,Staff,40000
105756,Senior Staff,40000
105766,Senior Staff,40239
105770,Staff,59892
105775,Senior Staff,70689
105776,Senior Engineer,40000
105781,Senior Staff,43821
105786,Senior Engineer,40000
105789,Senior Staff,59645
105800,Senior Staff,85698
105809,Senior Engineer,40000
105810,Senior Engineer,49644
105815,Staff,51643
105817,Senior Engineer,41926
105839,Senior Engineer,53442
105841,Staff,75590
105852,Senior Staff,61179
105860,Senior Engineer,40000
105862,Senior Engineer,40000
105876,Senior Engineer,40000
105878,Senior Engineer,40000
105884,Senior Engineer,54610
105886,Senior Staff,79210
105889,Senior Staff,56143
105899,Staff,41019
105910,Engineer,42079
105915,Senior Engineer,47819
105921,Senior Staff,53323
105926,Senior Staff,56038
105934,Senior Staff,43607
105935,Senior Staff,49967
105965,Staff,60694
105981,Senior Engineer,67011
105987,Senior Staff,40000
105988,Senior Staff,40000
105991,Senior Engineer,40000
105998,Senior Engineer,40508
106003,Technique Leader,70147
106007,Technique Leader,68938
106011,Senior Staff,73579
106016,Engineer,40676
106031,Senior Engineer,51827
106036,Senior Staff,61748
106040,Senior Staff,48790
106042,Technique Leader,40000
106044,Senior Staff,40000
106048,Senior Engineer,76731
106049,Senior Staff,82610
106063,Senior Staff,88281
106083,Engineer,73602
106091,Senior Staff,50394
106095,Senior Staff,42341
106107,Senior Engineer,61234
106109,Engineer,57666
106113,Senior Engineer,40000
106121,Technique Leader,40000
106132,Senior Engineer,45501
106133,Senior Staff,62184
106143,Staff,65019
106161,Senior Engineer,40000
106163,Senior Engineer,40462
106166,Engineer,43575
106177,Senior Engineer,40000
106186,Senior Staff,102905
106187,Senior Staff,72190
106190,Senior Staff,68272
106192,Senior Engineer,40000
106197,Engineer,47431
106198,Senior Staff,58620
106200,Staff,43116
106206,Senior Engineer,40000
106212,Senior Engineer,51759
106214,Senior Engineer,45338
106222,Senior Engineer,76443
106233,Senior Engineer,40000
106240,Engineer,46408
106254,Senior Staff,78781
106255,Senior Staff,71684
106256,Senior Engineer,40000
106260,Engineer,40000
106278,Senior Staff,83509
106293,Senior Staff,66303
106307,Technique Leader,40000
106317,Senior Staff,40831
106319,Senior Staff,70493
106320,Senior Staff,61408
106331,Senior Engineer,40000
106340,Assistant Engineer,53526
106346,Engineer,40000
106355,Senior Engineer,63655
106364,Senior Staff,40000
106371,Staff,77692
106376,Engineer,40000
106383,Senior Staff,80175
106405,Staff,40000
106411,Senior Engineer,40000
106417,Senior Staff,40000
106425,Senior Engineer,47711
106435,Senior Staff,62696
106441,Senior Staff,68396
106442,Senior Staff,61615
106447,Senior Staff,49865
106451,Senior Staff,67407
106457,Engineer,46491
106462,Technique Leader,47904
106463,Senior Staff,41222
106465,Senior Staff,40000
106466,Senior Engineer,47606
106482,Senior Staff,77323
106487,Senior Engineer,61975
106504,Technique Leader,40000
106508,Senior Engineer,40000
106531,Senior Engineer,51029
106536,Engineer,40000
106537,Staff,40000
106547,Senior Engineer,62082
106548,Staff,40000
106552,Senior Engineer,49915
106555,Engineer,72049
106558,Senior Engineer,41656
106560,Technique Leader,40000
106567,Senior Engineer,40000
106577,Senior Staff,74295
106582,Senior Engineer,43391
106584,Senior Engineer,40000
106587,Engineer,40000
106588,Senior Engineer,41806
106589,Senior Engineer,72652
106592,Senior Staff,40000
106605,Staff,40000
106606,Senior Engineer,40000
106611,Senior Engineer,40000
106616,Senior Engineer,40000
106630,Senior Staff,101633
106633,Senior Engineer,40000
106634,Senior Staff,77974
106645,Senior Engineer,59196
106648,Senior Engineer,55524
106667,Senior Engineer,50340
106669,Engineer,59503
106670,Senior Staff,53246
106678,Senior Staff,42908
106679,Engineer,40500
106684,Senior Staff,70215
106690,Senior Engineer,40963
106703,Senior Engineer,40000
106721,Engineer,53043
106725,Staff,79225
106736,Senior Engineer,41285
106737,Engineer,56136
106743,Engineer,40000
106756,Staff,71811
106764,Senior Staff,41988
106770,Senior Staff,76622
106773,Senior Engineer,45174
106779,Staff,61427
106788,Senior Staff,40000
106795,Engineer,40858
106797,Senior Engineer,58863
106798,Senior Engineer,59998
106819,Senior Staff,50336
106824,Senior Engineer,53706
106836,Senior Staff,49410
106837,Senior Staff,72614
106838,Senior Staff,60711
106843,Senior Engineer,64995
106845,Engineer,43858
106848,Senior Engineer,40000
106868,Senior Engineer,70730
106869,Senior Staff,43859
106871,Senior Engineer,40000
106877,Senior Staff,56319
106879,Engineer,54048
106891,Staff,40000
106897,Senior Staff,86978
106914,Senior Staff,40000
106928,Senior Engineer,50376
106933,Senior Staff,89360
106935,Senior Staff,78007
106942,Senior Staff,50073
106943,Senior Engineer,46746
106946,Senior Staff,100204
106949,Staff,40000
106953,Senior Staff,51195
106981,Senior Engineer,40000
106985,Senior Engineer,40000
106987,Senior Staff,40000
106988,Engineer,56543
106994,Senior Engineer,54805
107000,Technique Leader,58611
107018,Senior Engineer,40000
107019,Senior Staff,81407
107025,Senior Engineer,44790
107027,Engineer,58504
107032,Senior Staff,84400
107033,Senior Engineer,40000
107053,Senior Staff,40000
107077,Senior Engineer,40000
107090,Senior Engineer,43398
107097,Staff,79614
107101,Senior Engineer,40232
107103,Senior Staff,57771
107110,Engineer,54147
107113,Senior Staff,65971
107118,Senior Staff,40000
107119,Technique Leader,40000
107131,Technique Leader,45823
107134,Senior Engineer,40000
107135,Senior Engineer,40000
107145,Senior Staff,40000
107160,Senior Engineer,48722
107173,Senior Engineer,66709
107205,Senior Engineer,56416
107209,Senior Staff,40000
107245,Senior Staff,68492
107246,Senior Engineer,40000
107253,Engineer,40000
107254,Senior Engineer,40000
107257,Staff,84999
107258,Staff,87036
107262,Engineer,40000
107264,Senior Engineer,40000
107276,Senior Engineer,40000
107279,Technique Leader,48433
107285,Senior Staff,40981
107287,Staff,48709
107290,Senior Engineer,48949
107292,Senior Staff,64509
107293,Staff,91575
107296,Engineer,55069
107307,Senior Staff,48442
107320,Senior Engineer,40000
107325,Staff,72170
107329,Senior Staff,58795
107330,Staff,72573
107332,Senior Staff,74461
107333,Senior Staff,67210
107340,Engineer,40000
107341,Senior Staff,43265
107346,Senior Staff,40000
107359,Senior Staff,69866
107380,Senior Staff,43817
107383,Senior Staff,73971
107386,Engineer,40000
107391,Senior Engineer,75536
107392,Senior Engineer,40000
107403,Engineer,40747
107406,Staff,61878
107409,Senior Staff,78984
107413,Engineer,40000
107425,Senior Engineer,60401
107440,Senior Engineer,55065
107452,Senior Staff,40771
107458,Senior Engineer,40000
107466,Technique Leader,40000
107474,Senior Staff,90921
107487,Senior Engineer,40000
107488,Engineer,40000
107491,Senior Engineer,49177
107500,Senior Staff,76558
107504,Senior Engineer,40000
107505,Engineer,62259
107506,Senior Engineer,61252
107508,Senior Staff,91591
107517,Staff,69243
107525,Technique Leader,40353
107531,Senior Engineer,69532
107535,Senior Engineer,40000
107540,Senior Staff,56139
107545,Senior Engineer,41944
107550,Senior Engineer,48975
107553,Senior Engineer,40000
107554,Senior Staff,77044
107570,Senior Staff,40000
107579,Senior Engineer,42590
107593,Senior Engineer,61143
107597,Senior Engineer,51414
107599,Staff,40000
107620,Senior Engineer,43390
107623,Senior Engineer,40634
107625,Assistant Engineer,40000
107645,Senior Engineer,50737
107669,Senior Engineer,40000
107674,Senior Staff,75985
107682,Senior Engineer,40000
107684,Senior Staff,86795
107687,Staff,40000
107693,Staff,74358
107695,Senior Engineer,63683
107702,Engineer,40000
107712,Senior Staff,53298
107718,Engineer,40000
107723,Senior Staff,52189
107732,Senior Engineer,44224
107744,Senior Staff,41042
107746,Staff,65413
107747,Senior Staff,61781
107748,Senior Staff,40000
107759,Senior Staff,52504
107763,Staff,41509
107764,Engineer,40000
107780,Senior Engineer,45786
107782,Senior Staff,40000
107797,Senior Engineer,43210
107800,Senior Engineer,66719
107807,Staff,90121
107809,Senior Staff,47582
107810,Senior Engineer,55564
107816,Senior Engineer,42366
107822,Senior Staff,81854
107823,Senior Engineer,63309
107825,Senior Engineer,40000
107840,Senior Engineer,74188
107845,Engineer,44513
107892,Senior Engineer,40000
107895,Senior Staff,40000
107901,Senior Staff,65097
107919,Staff,61506
107924,Senior Staff,55206
107935,Senior Engineer,40000
107937,Senior Staff,44197
107950,Senior Staff,40000
107955,Senior Staff,40000
107959,Senior Staff,53499
107962,Staff,50106
107969,Senior Engineer,53054
107982,Senior Staff,80070
107985,Technique Leader,66727
107990,Senior Staff,57973
107996,Senior Staff,77034
107997,Senior Staff,68517
108007,Senior Staff,51906
108018,Senior Engineer,55142
108019,Engineer,49942
108020,Technique Leader,57973
108023,Senior Staff,95998
108028,Senior Engineer,40000
108048,Staff,70099
108050,Senior Engineer,40421
108053,Senior Staff,76316
108064,Senior Engineer,44249
108070,Senior Staff,58695
108074,Senior Staff,40000
108078,Engineer,48361
108081,Senior Staff,40000
108092,Senior Engineer,44220
108096,Senior Engineer,40000
108109,Senior Engineer,49024
108114,Senior Engineer,46169
108119,Senior Engineer,67495
108122,Senior Staff,75832
108126,Senior Engineer,68011
108137,Engineer,40000
108138,Senior Staff,67590
108142,Staff,44331
108148,Engineer,43395
108150,Senior Engineer,40000
108153,Senior Staff,57477
108168,Senior Engineer,61416
108176,Senior Engineer,40000
108179,Senior Engineer,54941
108181,Senior Engineer,54917
108184,Senior Engineer,55766
108212,Senior Staff,75248
108217,Senior Staff,49154
108218,Senior Engineer,40000
108223,Technique Leader,55782
108244,Senior Engineer,47637
108246,Senior Staff,58573
108251,Engineer,53380
108262,Senior Engineer,44889
108279,Senior Engineer,40000
108300,Senior Staff,47077
108306,Senior Staff,65991
108307,Senior Staff,94766
108325,Senior Engineer,47639
108332,Senior Engineer,68229
108338,Senior Engineer,53224
108342,Senior Engineer,53078
108363,Staff,59999
108364,Senior Engineer,59004
108367,Senior Staff,75391
108375,Senior Staff,41508
108390,Staff,95505
108391,Senior Staff,60136
108406,Staff,72133
108410,Senior Engineer,40000
108420,Senior Staff,71215
108433,Senior Engineer,40177
108440,Senior Staff,60258
108453,Engineer,40000
108461,Senior Staff,55988
108474,Senior Engineer,40000
108477,Staff,40000
108503,Senior Engineer,65149
108505,Senior Engineer,56139
108507,Staff,40000
108524,Senior Engineer,40000
108536,Senior Staff,59777
108539,Senior Engineer,40000
108541,Senior Staff,40009
108548,Senior Staff,48304
108551,Staff,46713
108561,Senior Engineer,40000
108563,Engineer,47431
108576,Assistant Engineer,40000
108586,Senior Engineer,40000
108588,Senior Engineer,40000
108597,Senior Engineer,40000
108612,Senior Engineer,40000
108616,Senior Engineer,60258
108624,Senior Staff,47672
108627,Senior Staff,56920
108641,Senior Engineer,41036
108656,Senior Staff,55062
108668,Senior Staff,40000
108669,Technique Leader,40000
108676,Senior Staff,40000
108686,Senior Engineer,40094
108700,Senior Staff,41407
108711,Senior Staff,71845
108713,Senior Engineer,40000
108716,Engineer,56037
108717,Senior Engineer,59855
108729,Senior Staff,82598
108737,Staff,64685
108740,Senior Staff,88151
108749,Senior Engineer,52541
108761,Technique Leader,40000
108763,Staff,78160
108765,Senior Engineer,55869
108770,Senior Engineer,46874
108794,Senior Engineer,40000
108798,Technique Leader,79837
108816,Senior Staff,48605
108822,Senior Engineer,55122
108823,Senior Engineer,57527
108825,Senior Engineer,65012
108828,Senior Engineer,53688
108833,Senior Engineer,55838
108839,Senior Engineer,40000
108841,Senior Engineer,40000
108842,Staff,94385
108845,Senior Engineer,40000
108850,Senior Staff,40000
108871,Senior Staff,61250
108884,Senior Staff,83699
108891,Staff,86860
108906,Assistant Engineer,55182
108911,Senior Engineer,40000
108935,Senior Engineer,40000
108940,Senior Engineer,40000
108947,Technique Leader,40000
108954,Senior Engineer,42648
108963,Senior Engineer,53946
108971,Senior Staff,41544
108977,Technique Leader,40000
108985,Senior Engineer,59458
108993,Senior Staff,63698
108994,Technique Leader,40222
108997,Senior Engineer,49656
109010,Senior Engineer,40000
109036,Technique Leader,49008
109052,Senior Engineer,65126
109080,Senior Staff,43213
109083,Staff,81320
109088,Senior Engineer,41759
109090,Engineer,57456
109097,Senior Staff,52008
109101,Staff,85039
109108,Senior Engineer,40000
109111,Senior Engineer,49338
109114,Engineer,50256
109115,Senior Engineer,40000
109117,Senior Staff,70502
109125,Staff,72554
109141,Technique Leader,70671
109147,Senior Engineer,44103
109150,Senior Staff,58114
109155,Engineer,70310
109167,Senior Staff,40000
109172,Senior Staff,55866
109174,Senior Engineer,40000
109175,Senior Engineer,40000
109180,Senior Staff,57019
109181,Senior Staff,64365
109189,Senior Staff,73531
109193,Senior Engineer,66788
109204,Engineer,40000
109205,Senior Staff,40000
109206,Senior Staff,53548
109231,Senior Engineer,40000
109261,Senior Staff,43490
109263,Senior Engineer,48514
109267,Technique Leader,44179
109280,Senior Engineer,46513
109281,Engineer,51008
109284,Engineer,40000
109285,Senior Staff,40000
109289,Senior Staff,40000
109291,Senior Engineer,62026
109294,Senior Engineer,67916
109306,Senior Staff,61192
109311,Senior Staff,65042
109318,Staff,83039
109323,Senior Engineer,40000
109334,Senior Staff,123668
109344,Senior Staff,48900
109349,Staff,40000
109356,Senior Engineer,40000
109369,Senior Engineer,66914
109373,Senior Engineer,40000
109379,Senior Staff,81401
109380,Senior Staff,91119
109389,Senior Staff,82117
109393,Senior Engineer,48912
109400,Senior Staff,40000
109425,Senior Staff,85391
109427,Senior Staff,40000
109436,Senior Engineer,65589
109448,Senior Engineer,57727
109449,Senior Staff,80706
109451,Senior Engineer,40000
109457,Staff,82632
109465,Senior Engineer,49234
109470,Staff,76886
109481,Senior Engineer,40000
109483,Staff,58846
109496,Senior Staff,61761
109502,Staff,84630
109506,Senior Staff,40000
109512,Senior Staff,48742
109514,Senior Staff,72532
109520,Senior Engineer,40000
109524,Staff,63277
109528,Senior Staff,70277
109556,Engineer,40000
109560,Senior Staff,91629
109561,Senior Engineer,40000
109565,Senior Engineer,51822
109570,Senior Engineer,40000
109575,Senior Engineer,44051
109584,Senior Staff,40000
109610,Senior Engineer,40000
109612,Senior Engineer,49925
109621,Engineer,40000
109623,Staff,60639
109642,Senior Engineer,40000
109643,Senior Staff,55418
109650,Engineer,47047
109672,Engineer,43009
109675,Senior Staff,40000
109678,Senior Staff,40000
109681,Senior Engineer,40000
109687,Staff,40000
109696,Senior Engineer,73870
109699,Senior Engineer,68285
109710,Technique Leader,48036
